refdate,refdate2,date,team,opponent,win,runs,runs_allowed
 4/ 16, 4/ 16/2014,4/16/2014,WSN,MIA,TRUE,6,3
 4/ 17, 4/ 17/2014,4/17/2014,WSN,STL,FALSE,0,8
 4/ 18, 4/ 18/2014,4/18/2014,WSN,STL,TRUE,3,1
 4/ 19, 4/ 19/2014,4/19/2014,WSN,STL,FALSE,3,4
 4/ 20, 4/ 20/2014,4/20/2014,WSN,STL,TRUE,3,2
 4/ 21, 4/ 21/2014,4/21/2014,WSN,LAA,FALSE,2,4
 4/ 22, 4/ 22/2014,4/22/2014,WSN,LAA,FALSE,2,7
 4/ 23, 4/ 23/2014,4/23/2014,WSN,LAA,TRUE,5,4
 4/ 24, 4/ 24/2014,4/24/2014,WSN,SDP,FALSE,3,4
 4/ 25, 4/ 25/2014,4/25/2014,WSN,SDP,TRUE,11,1
 4/ 26, 4/ 26/2014,4/26/2014,WSN,SDP,TRUE,4,0
 4/ 27, 4/ 27/2014,4/27/2014,WSN,SDP,FALSE,2,4
 4/ 29, 4/ 29/2014,4/29/2014,WSN,HOU,TRUE,4,3
 4/ 30, 4/ 30/2014,4/30/2014,WSN,HOU,TRUE,7,0
 5/ 2, 5/ 2/2014,5/2/2014,WSN,PHI,TRUE,5,3
 5/ 3, 5/ 3/2014,5/3/2014,WSN,PHI,FALSE,2,7
 5/ 4, 5/ 4/2014,5/4/2014,WSN,PHI,FALSE,0,1
 5/ 5, 5/ 5/2014,5/5/2014,WSN,LAD,TRUE,4,0
 5/ 6, 5/ 6/2014,5/6/2014,WSN,LAD,FALSE,3,8
 5/ 7, 5/ 7/2014,5/7/2014,WSN,LAD,TRUE,3,2
 5/ 9, 5/ 9/2014,5/9/2014,WSN,OAK,FALSE,0,8
 5/ 10, 5/ 10/2014,5/10/2014,WSN,OAK,FALSE,3,4
 5/ 11, 5/ 11/2014,5/11/2014,WSN,OAK,FALSE,1,9
 5/ 12, 5/ 12/2014,5/12/2014,WSN,ARI,TRUE,6,5
 5/ 13, 5/ 13/2014,5/13/2014,WSN,ARI,FALSE,1,3
 5/ 14, 5/ 14/2014,5/14/2014,WSN,ARI,TRUE,5,1
 5/ 16, 5/ 16/2014,5/16/2014,WSN,NYM,TRUE,5,2
 5/ 17, 5/ 17/2014,5/17/2014,WSN,NYM,FALSE,2,5
 5/ 18, 5/ 18/2014,5/18/2014,WSN,NYM,TRUE,6,3
 5/ 19, 5/ 19/2014,5/19/2014,WSN,CIN,FALSE,3,4
 5/ 20, 5/ 20/2014,5/20/2014,WSN,CIN,TRUE,9,4
 5/ 21, 5/ 21/2014,5/21/2014,WSN,CIN,FALSE,1,2
 5/ 22, 5/ 22/2014,5/22/2014,WSN,PIT,FALSE,1,3
 5/ 23, 5/ 23/2014,5/23/2014,WSN,PIT,FALSE,3,4
 5/ 24, 5/ 24/2014,5/24/2014,WSN,PIT,FALSE,2,3
 5/ 25, 5/ 25/2014,5/25/2014,WSN,PIT,TRUE,5,2
 5/ 26, 5/ 26/2014,5/26/2014,WSN,MIA,FALSE,2,3
 5/ 28, 5/ 28/2014,5/28/2014,WSN,MIA,FALSE,5,8
 5/ 30, 5/ 30/2014,5/30/2014,WSN,TEX,TRUE,9,2
 5/ 31, 5/ 31/2014,5/31/2014,WSN,TEX,TRUE,10,2
 6/ 1, 6/ 1/2014,6/1/2014,WSN,TEX,FALSE,0,2
 6/ 3, 6/ 3/2014,6/3/2014,WSN,PHI,TRUE,7,0
 6/ 4, 6/ 4/2014,6/4/2014,WSN,PHI,TRUE,8,4
 6/ 5, 6/ 5/2014,6/5/2014,WSN,PHI,TRUE,4,2
 6/ 6, 6/ 6/2014,6/6/2014,WSN,SDP,TRUE,6,0
 6/ 7, 6/ 7/2014,6/7/2014,WSN,SDP,FALSE,3,4
 6/ 8, 6/ 8/2014,6/8/2014,WSN,SDP,TRUE,6,0
 6/ 9, 6/ 9/2014,6/9/2014,WSN,SFG,TRUE,9,2
 6/ 10, 6/ 10/2014,6/10/2014,WSN,SFG,TRUE,2,1
 6/ 11, 6/ 11/2014,6/11/2014,WSN,SFG,TRUE,6,2
 6/ 12, 6/ 12/2014,6/12/2014,WSN,SFG,FALSE,1,7
 6/ 13, 6/ 13/2014,6/13/2014,WSN,STL,FALSE,0,1
 6/ 14, 6/ 14/2014,6/14/2014,WSN,STL,FALSE,1,4
 6/ 15, 6/ 15/2014,6/15/2014,WSN,STL,FALSE,2,5
 6/ 17, 6/ 17/2014,6/17/2014,WSN,HOU,TRUE,6,5
 6/ 18, 6/ 18/2014,6/18/2014,WSN,HOU,TRUE,6,5
 6/ 19, 6/ 19/2014,6/19/2014,WSN,ATL,FALSE,0,3
 6/ 20, 6/ 20/2014,6/20/2014,WSN,ATL,FALSE,4,6
 6/ 21, 6/ 21/2014,6/21/2014,WSN,ATL,TRUE,3,0
 6/ 22, 6/ 22/2014,6/22/2014,WSN,ATL,TRUE,4,1
 6/ 23, 6/ 23/2014,6/23/2014,WSN,MIL,TRUE,3,0
 6/ 24, 6/ 24/2014,6/24/2014,WSN,MIL,TRUE,4,2
 6/ 25, 6/ 25/2014,6/25/2014,WSN,MIL,FALSE,2,9
 6/ 26, 6/ 26/2014,6/26/2014,WSN,CHC,FALSE,3,5
 6/ 27, 6/ 27/2014,6/27/2014,WSN,CHC,FALSE,2,7
 6/ 28 , 6/ 28 /2014,6/28/2014,WSN,CHC,TRUE,3,0
 6/ 28 , 6/ 28 /2014,6/28/2014,WSN,CHC,TRUE,7,2
 6/ 30, 6/ 30/2014,6/30/2014,WSN,COL,TRUE,7,3
 7/ 1, 7/ 1/2014,7/1/2014,WSN,COL,TRUE,7,1
 7/ 2, 7/ 2/2014,7/2/2014,WSN,COL,TRUE,4,3
 7/ 4, 7/ 4/2014,7/4/2014,WSN,CHC,FALSE,2,7
 7/ 5, 7/ 5/2014,7/5/2014,WSN,CHC,TRUE,13,0
 7/ 6, 7/ 6/2014,7/6/2014,WSN,CHC,TRUE,2,1
 7/ 7, 7/ 7/2014,7/7/2014,WSN,BAL,FALSE,2,8
 7/ 9, 7/ 9/2014,7/9/2014,WSN,BAL,TRUE,6,2
 7/ 10, 7/ 10/2014,7/10/2014,WSN,BAL,FALSE,3,4
 7/ 11, 7/ 11/2014,7/11/2014,WSN,PHI,FALSE,2,6
 7/ 12, 7/ 12/2014,7/12/2014,WSN,PHI,TRUE,5,3
 7/ 13, 7/ 13/2014,7/13/2014,WSN,PHI,TRUE,10,3
 7/ 18, 7/ 18/2014,7/18/2014,WSN,MIL,FALSE,2,4
 7/ 19, 7/ 19/2014,7/19/2014,WSN,MIL,TRUE,8,3
 7/ 20, 7/ 20/2014,7/20/2014,WSN,MIL,TRUE,5,4
 7/ 21, 7/ 21/2014,7/21/2014,WSN,COL,TRUE,7,2
 7/ 22, 7/ 22/2014,7/22/2014,WSN,COL,TRUE,7,4
 7/ 23, 7/ 23/2014,7/23/2014,WSN,COL,FALSE,4,6
 7/ 25, 7/ 25/2014,7/25/2014,WSN,CIN,TRUE,4,1
 7/ 26, 7/ 26/2014,7/26/2014,WSN,CIN,FALSE,0,1
 7/ 27, 7/ 27/2014,7/27/2014,WSN,CIN,TRUE,4,2
 7/ 28, 7/ 28/2014,7/28/2014,WSN,MIA,FALSE,6,7
 7/ 29, 7/ 29/2014,7/29/2014,WSN,MIA,FALSE,0,3
 7/ 30, 7/ 30/2014,7/30/2014,WSN,MIA,TRUE,4,3
 7/ 31, 7/ 31/2014,7/31/2014,WSN,PHI,FALSE,4,10
 8/ 1, 8/ 1/2014,8/1/2014,WSN,PHI,FALSE,1,2
 8/ 2, 8/ 2/2014,8/2/2014,WSN,PHI,TRUE,11,0
 8/ 3, 8/ 3/2014,8/3/2014,WSN,PHI,TRUE,4,0
 8/ 4, 8/ 4/2014,8/4/2014,WSN,BAL,FALSE,3,7
 8/ 5, 8/ 5/2014,8/5/2014,WSN,NYM,FALSE,1,6
 8/ 6, 8/ 6/2014,8/6/2014,WSN,NYM,TRUE,7,1
 8/ 7, 8/ 7/2014,8/7/2014,WSN,NYM,TRUE,5,3
 8/ 8, 8/ 8/2014,8/8/2014,WSN,ATL,FALSE,6,7
 8/ 9, 8/ 9/2014,8/9/2014,WSN,ATL,TRUE,4,1
 8/ 10, 8/ 10/2014,8/10/2014,WSN,ATL,FALSE,1,3
 8/ 12, 8/ 12/2014,8/12/2014,WSN,NYM,TRUE,7,1
 8/ 13, 8/ 13/2014,8/13/2014,WSN,NYM,TRUE,3,2
 8/ 14, 8/ 14/2014,8/14/2014,WSN,NYM,TRUE,4,1
 8/ 15, 8/ 15/2014,8/15/2014,WSN,PIT,TRUE,5,4
 8/ 16, 8/ 16/2014,8/16/2014,WSN,PIT,TRUE,4,3
 8/ 17, 8/ 17/2014,8/17/2014,WSN,PIT,TRUE,6,5
 8/ 18, 8/ 18/2014,8/18/2014,WSN,ARI,TRUE,5,4
 8/ 19, 8/ 19/2014,8/19/2014,WSN,ARI,TRUE,8,1
 8/ 20, 8/ 20/2014,8/20/2014,WSN,ARI,TRUE,3,2
 8/ 21, 8/ 21/2014,8/21/2014,WSN,ARI,TRUE,1,0
 8/ 22, 8/ 22/2014,8/22/2014,WSN,SFG,FALSE,3,10
 8/ 23, 8/ 23/2014,8/23/2014,WSN,SFG,TRUE,6,2
 8/ 24, 8/ 24/2014,8/24/2014,WSN,SFG,TRUE,14,6
 8/ 25, 8/ 25/2014,8/25/2014,WSN,PHI,FALSE,2,3
 8/ 26, 8/ 26/2014,8/26/2014,WSN,PHI,FALSE,3,4
 8/ 27, 8/ 27/2014,8/27/2014,WSN,PHI,FALSE,4,8
 8/ 29, 8/ 29/2014,8/29/2014,WSN,SEA,TRUE,8,3
 8/ 30, 8/ 30/2014,8/30/2014,WSN,SEA,TRUE,3,1
 8/ 31, 8/ 31/2014,8/31/2014,WSN,SEA,FALSE,3,5
 9/ 1, 9/ 1/2014,9/1/2014,WSN,LAD,TRUE,6,4
 9/ 2, 9/ 2/2014,9/2/2014,WSN,LAD,FALSE,1,4
 9/ 3, 9/ 3/2014,9/3/2014,WSN,LAD,TRUE,8,5
 9/ 5, 9/ 5/2014,9/5/2014,WSN,PHI,FALSE,8,9
 9/ 6, 9/ 6/2014,9/6/2014,WSN,PHI,FALSE,1,3
 9/ 7, 9/ 7/2014,9/7/2014,WSN,PHI,TRUE,3,2
 9/ 8, 9/ 8/2014,9/8/2014,WSN,ATL,TRUE,2,1
 9/ 9, 9/ 9/2014,9/9/2014,WSN,ATL,TRUE,6,4
 9/ 10, 9/ 10/2014,9/10/2014,WSN,ATL,FALSE,2,6
 9/ 11, 9/ 11/2014,9/11/2014,WSN,NYM,TRUE,6,2
 9/ 12, 9/ 12/2014,9/12/2014,WSN,NYM,FALSE,3,4
 9/ 13, 9/ 13/2014,9/13/2014,WSN,NYM,TRUE,10,3
 9/ 14, 9/ 14/2014,9/14/2014,WSN,NYM,TRUE,3,0
 9/ 15, 9/ 15/2014,9/15/2014,WSN,ATL,TRUE,4,2
 9/ 16, 9/ 16/2014,9/16/2014,WSN,ATL,TRUE,3,0
 9/ 17, 9/ 17/2014,9/17/2014,WSN,ATL,FALSE,1,3
 9/ 18, 9/ 18/2014,9/18/2014,WSN,MIA,TRUE,6,2
 9/ 19, 9/ 19/2014,9/19/2014,WSN,MIA,TRUE,3,2
 9/ 20, 9/ 20/2014,9/20/2014,WSN,MIA,TRUE,3,2
 9/ 21, 9/ 21/2014,9/21/2014,WSN,MIA,TRUE,2,1
 9/ 23, 9/ 23/2014,9/23/2014,WSN,NYM,TRUE,4,2
 9/ 25 , 9/ 25 /2014,9/25/2014,WSN,NYM,FALSE,4,7
 9/ 25 , 9/ 25 /2014,9/25/2014,WSN,NYM,TRUE,3,0
 9/ 26 , 9/ 26 /2014,9/26/2014,WSN,MIA,TRUE,4,0
 9/ 26 , 9/ 26 /2014,9/26/2014,WSN,MIA,FALSE,7,15
 9/ 27, 9/ 27/2015,9/27/2015,WSN,MIA,TRUE,5,1
 9/ 28, 9/ 28/2015,9/28/2015,WSN,MIA,TRUE,1,0
 4/ 6, 4/ 6/2015,4/6/2015,WSN,NYM,FALSE,1,3
 4/ 8, 4/ 8/2015,4/8/2015,WSN,NYM,TRUE,2,1
 4/ 9, 4/ 9/2015,4/9/2015,WSN,NYM,FALSE,3,6
 4/ 10, 4/ 10/2015,4/10/2015,WSN,PHI,FALSE,1,4
 4/ 11, 4/ 11/2015,4/11/2015,WSN,PHI,FALSE,2,3
 4/ 12, 4/ 12/2015,4/12/2015,WSN,PHI,TRUE,4,3
 4/ 13, 4/ 13/2015,4/13/2015,WSN,BOS,FALSE,4,9
 4/ 14, 4/ 14/2015,4/14/2015,WSN,BOS,FALSE,7,8
 4/ 15, 4/ 15/2015,4/15/2015,WSN,BOS,TRUE,10,5
 4/ 16, 4/ 16/2015,4/16/2015,WSN,PHI,TRUE,5,2
 4/ 17, 4/ 17/2015,4/17/2015,WSN,PHI,TRUE,7,2
 4/ 18, 4/ 18/2015,4/18/2015,WSN,PHI,FALSE,3,5
 4/ 19, 4/ 19/2015,4/19/2015,WSN,PHI,TRUE,4,1
 4/ 21, 4/ 21/2015,4/21/2015,WSN,STL,TRUE,2,1
 4/ 22, 4/ 22/2015,4/22/2015,WSN,STL,FALSE,5,7
 4/ 23, 4/ 23/2015,4/23/2015,WSN,STL,FALSE,1,4
 4/ 24, 4/ 24/2015,4/24/2015,WSN,MIA,FALSE,2,3
 4/ 25, 4/ 25/2015,4/25/2015,WSN,MIA,FALSE,0,8
 4/ 26, 4/ 26/2015,4/26/2015,WSN,MIA,FALSE,2,6
 4/ 27, 4/ 27/2015,4/27/2015,WSN,ATL,FALSE,4,8
 4/ 28, 4/ 28/2015,4/28/2015,WSN,ATL,TRUE,13,12
 4/ 29, 4/ 29/2015,4/29/2015,WSN,ATL,TRUE,13,4
 4/ 30, 4/ 30/2015,4/30/2015,WSN,NYM,TRUE,8,2
 5/ 1, 5/ 1/2015,5/1/2015,WSN,NYM,FALSE,0,4
 5/ 2, 5/ 2/2015,5/2/2015,WSN,NYM,TRUE,1,0
 5/ 3, 5/ 3/2015,5/3/2015,WSN,NYM,TRUE,1,0
 5/ 4, 5/ 4/2015,5/4/2015,WSN,MIA,TRUE,6,4
 5/ 5, 5/ 5/2015,5/5/2015,WSN,MIA,FALSE,1,2
 5/ 6, 5/ 6/2015,5/6/2015,WSN,MIA,TRUE,7,5
 5/ 8, 5/ 8/2015,5/8/2015,WSN,ATL,TRUE,9,2
 5/ 9, 5/ 9/2015,5/9/2015,WSN,ATL,TRUE,8,6
 5/ 10, 5/ 10/2015,5/10/2015,WSN,ATL,TRUE,5,4
 5/ 11, 5/ 11/2015,5/11/2015,WSN,ARI,TRUE,11,1
 5/ 12, 5/ 12/2015,5/12/2015,WSN,ARI,FALSE,6,14
 5/ 13, 5/ 13/2015,5/13/2015,WSN,ARI,TRUE,9,6
 5/ 14, 5/ 14/2015,5/14/2015,WSN,SDP,FALSE,3,8
 5/ 15, 5/ 15/2015,5/15/2015,WSN,SDP,TRUE,10,0
 5/ 16, 5/ 16/2015,5/16/2015,WSN,SDP,TRUE,4,1
 5/ 17, 5/ 17/2015,5/17/2015,WSN,SDP,TRUE,10,5
 5/ 19, 5/ 19/2015,5/19/2015,WSN,NYY,TRUE,8,6
 5/ 20, 5/ 20/2015,5/20/2015,WSN,NYY,TRUE,3,2
 5/ 22, 5/ 22/2015,5/22/2015,WSN,PHI,TRUE,2,1
 5/ 23, 5/ 23/2015,5/23/2015,WSN,PHI,FALSE,1,8
 5/ 24, 5/ 24/2015,5/24/2015,WSN,PHI,TRUE,4,1
 5/ 25, 5/ 25/2015,5/25/2015,WSN,CHC,TRUE,2,1
 5/ 26, 5/ 26/2015,5/26/2015,WSN,CHC,FALSE,2,3
 5/ 27, 5/ 27/2015,5/27/2015,WSN,CHC,TRUE,3,0
 5/ 29, 5/ 29/2015,5/29/2015,WSN,CIN,FALSE,2,5
 5/ 30, 5/ 30/2015,5/30/2015,WSN,CIN,FALSE,5,8
 5/ 31, 5/ 31/2015,5/31/2015,WSN,CIN,FALSE,2,8
 6/ 2 , 6/ 2 /2015,6/2/2015,WSN,TOR,TRUE,2,0
 6/ 2 , 6/ 2 /2015,6/2/2015,WSN,TOR,FALSE,3,7
 6/ 3, 6/ 3/2015,6/3/2015,WSN,TOR,FALSE,0,8
 6/ 4, 6/ 4/2015,6/4/2015,WSN,CHC,FALSE,1,2
 6/ 5, 6/ 5/2015,6/5/2015,WSN,CHC,TRUE,7,5
 6/ 6, 6/ 6/2015,6/6/2015,WSN,CHC,FALSE,2,4
 6/ 7, 6/ 7/2015,6/7/2015,WSN,CHC,FALSE,3,6
 6/ 9, 6/ 9/2015,6/9/2015,WSN,NYY,FALSE,1,6
 6/ 10, 6/ 10/2015,6/10/2015,WSN,NYY,TRUE,5,4
 6/ 11, 6/ 11/2015,6/11/2015,WSN,MIL,FALSE,5,6
 6/ 12, 6/ 12/2015,6/12/2015,WSN,MIL,FALSE,4,8
 6/ 13, 6/ 13/2015,6/13/2015,WSN,MIL,TRUE,7,2
 6/ 14, 6/ 14/2015,6/14/2015,WSN,MIL,TRUE,4,0
 6/ 15, 6/ 15/2015,6/15/2015,WSN,TBR,FALSE,1,6
 6/ 16, 6/ 16/2015,6/16/2015,WSN,TBR,TRUE,16,4
 6/ 17, 6/ 17/2015,6/17/2015,WSN,TBR,FALSE,0,5
 6/ 18, 6/ 18/2015,6/18/2015,WSN,TBR,FALSE,3,5
 6/ 19, 6/ 19/2015,6/19/2015,WSN,PIT,TRUE,4,1
 6/ 20, 6/ 20/2015,6/20/2015,WSN,PIT,TRUE,6,0
 6/ 21, 6/ 21/2015,6/21/2015,WSN,PIT,TRUE,9,2
 6/ 23, 6/ 23/2015,6/23/2015,WSN,ATL,TRUE,3,1
 6/ 24, 6/ 24/2015,6/24/2015,WSN,ATL,TRUE,2,1
 6/ 25, 6/ 25/2015,6/25/2015,WSN,ATL,TRUE,7,0
 6/ 26, 6/ 26/2015,6/26/2015,WSN,PHI,TRUE,5,2
 6/ 28 , 6/ 28 /2015,6/28/2015,WSN,PHI,TRUE,3,2
 6/ 28 , 6/ 28 /2015,6/28/2015,WSN,PHI,FALSE,5,8
 6/ 30, 6/ 30/2015,6/30/2015,WSN,ATL,TRUE,6,1
 7/ 1, 7/ 1/2015,7/1/2015,WSN,ATL,FALSE,1,4
 7/ 2, 7/ 2/2015,7/2/2015,WSN,ATL,FALSE,1,2
 7/ 3, 7/ 3/2015,7/3/2015,WSN,SFG,TRUE,2,1
 7/ 4, 7/ 4/2015,7/4/2015,WSN,SFG,TRUE,9,3
 7/ 5, 7/ 5/2015,7/5/2015,WSN,SFG,TRUE,3,1
 7/ 6, 7/ 6/2015,7/6/2015,WSN,CIN,FALSE,2,3
 7/ 7, 7/ 7/2015,7/7/2015,WSN,CIN,FALSE,0,5
 7/ 10, 7/ 10/2015,7/10/2015,WSN,BAL,FALSE,2,3
 7/ 11, 7/ 11/2015,7/11/2015,WSN,BAL,TRUE,7,4
 7/ 12, 7/ 12/2015,7/12/2015,WSN,BAL,TRUE,3,2
 7/ 17, 7/ 17/2015,7/17/2015,WSN,LAD,TRUE,5,3
 7/ 18, 7/ 18/2015,7/18/2015,WSN,LAD,FALSE,2,4
 7/ 19, 7/ 19/2015,7/19/2015,WSN,LAD,FALSE,0,5
 7/ 20, 7/ 20/2015,7/20/2015,WSN,NYM,TRUE,7,2
 7/ 21, 7/ 21/2015,7/21/2015,WSN,NYM,FALSE,2,7
 7/ 22, 7/ 22/2015,7/22/2015,WSN,NYM,TRUE,4,3
 7/ 23, 7/ 23/2015,7/23/2015,WSN,PIT,FALSE,3,7
 7/ 24, 7/ 24/2015,7/24/2015,WSN,PIT,FALSE,5,7
 7/ 25, 7/ 25/2015,7/25/2015,WSN,PIT,TRUE,9,3
 7/ 26, 7/ 26/2015,7/26/2015,WSN,PIT,FALSE,1,3
 7/ 28, 7/ 28/2015,7/28/2015,WSN,MIA,FALSE,1,4
 7/ 29, 7/ 29/2015,7/29/2015,WSN,MIA,TRUE,7,2
 7/ 30, 7/ 30/2015,7/30/2015,WSN,MIA,TRUE,1,0
 7/ 31, 7/ 31/2015,7/31/2015,WSN,NYM,FALSE,1,2
 8/ 1, 8/ 1/2015,8/1/2015,WSN,NYM,FALSE,2,3
 8/ 2, 8/ 2/2015,8/2/2015,WSN,NYM,FALSE,2,5
 8/ 3, 8/ 3/2015,8/3/2015,WSN,ARI,FALSE,4,6
 8/ 4, 8/ 4/2015,8/4/2015,WSN,ARI,TRUE,5,4
 8/ 5, 8/ 5/2015,8/5/2015,WSN,ARI,FALSE,4,11
 8/ 6, 8/ 6/2015,8/6/2015,WSN,ARI,TRUE,8,3
 8/ 7, 8/ 7/2015,8/7/2015,WSN,COL,FALSE,4,5
 8/ 8, 8/ 8/2015,8/8/2015,WSN,COL,TRUE,6,1
 8/ 9, 8/ 9/2015,8/9/2015,WSN,COL,FALSE,4,6
 8/ 10, 8/ 10/2015,8/10/2015,WSN,LAD,TRUE,8,3
 8/ 11, 8/ 11/2015,8/11/2015,WSN,LAD,FALSE,0,5
 8/ 12, 8/ 12/2015,8/12/2015,WSN,LAD,FALSE,0,3
 8/ 13, 8/ 13/2015,8/13/2015,WSN,SFG,FALSE,1,3
 8/ 14, 8/ 14/2015,8/14/2015,WSN,SFG,FALSE,5,8
 8/ 15, 8/ 15/2015,8/15/2015,WSN,SFG,FALSE,6,12
 8/ 16, 8/ 16/2015,8/16/2015,WSN,SFG,FALSE,0,5
 8/ 18, 8/ 18/2015,8/18/2015,WSN,COL,TRUE,15,6
 8/ 19, 8/ 19/2015,8/19/2015,WSN,COL,TRUE,4,1
 8/ 20, 8/ 20/2015,8/20/2015,WSN,COL,FALSE,2,3
 8/ 21, 8/ 21/2015,8/21/2015,WSN,MIL,FALSE,3,10
 8/ 22, 8/ 22/2015,8/22/2015,WSN,MIL,TRUE,6,1
 8/ 23, 8/ 23/2015,8/23/2015,WSN,MIL,TRUE,9,5
 8/ 25, 8/ 25/2015,8/25/2015,WSN,SDP,TRUE,8,3
 8/ 26, 8/ 26/2015,8/26/2015,WSN,SDP,FALSE,5,6
 8/ 27, 8/ 27/2015,8/27/2015,WSN,SDP,TRUE,4,2
 8/ 28, 8/ 28/2015,8/28/2015,WSN,MIA,FALSE,3,4
 8/ 29, 8/ 29/2015,8/29/2015,WSN,MIA,TRUE,5,1
 8/ 30, 8/ 30/2015,8/30/2015,WSN,MIA,TRUE,7,4
 8/ 31, 8/ 31/2015,8/31/2015,WSN,STL,FALSE,5,8
 9/ 1, 9/ 1/2015,9/1/2015,WSN,STL,FALSE,5,8
 9/ 2, 9/ 2/2015,9/2/2015,WSN,STL,TRUE,4,3
 9/ 3, 9/ 3/2015,9/3/2015,WSN,ATL,TRUE,15,1
 9/ 4, 9/ 4/2015,9/4/2015,WSN,ATL,TRUE,5,2
 9/ 5, 9/ 5/2015,9/5/2015,WSN,ATL,TRUE,8,2
 9/ 6, 9/ 6/2015,9/6/2015,WSN,ATL,TRUE,8,4
 9/ 7, 9/ 7/2015,9/7/2015,WSN,NYM,FALSE,5,8
 9/ 8, 9/ 8/2015,9/8/2015,WSN,NYM,FALSE,7,8
 9/ 9, 9/ 9/2015,9/9/2015,WSN,NYM,FALSE,3,5
 9/ 11, 9/ 11/2015,9/11/2015,WSN,MIA,FALSE,1,2
 9/ 12, 9/ 12/2015,9/12/2015,WSN,MIA,FALSE,0,2
 9/ 13, 9/ 13/2015,9/13/2015,WSN,MIA,TRUE,5,0
 9/ 14, 9/ 14/2015,9/14/2015,WSN,PHI,TRUE,8,7
 9/ 15, 9/ 15/2015,9/15/2015,WSN,PHI,TRUE,4,0
 9/ 16, 9/ 16/2015,9/16/2015,WSN,PHI,TRUE,12,2
 9/ 17, 9/ 17/2015,9/17/2015,WSN,MIA,FALSE,4,6
 9/ 18, 9/ 18/2015,9/18/2015,WSN,MIA,TRUE,5,4
 9/ 19, 9/ 19/2015,9/19/2015,WSN,MIA,TRUE,5,2
 9/ 20, 9/ 20/2015,9/20/2015,WSN,MIA,TRUE,13,3
 9/ 22, 9/ 22/2015,9/22/2015,WSN,BAL,FALSE,1,4
 9/ 23, 9/ 23/2015,9/23/2015,WSN,BAL,FALSE,3,4
 9/ 24, 9/ 24/2015,9/24/2015,WSN,BAL,FALSE,4,5
 9/ 25, 9/ 25/2015,9/25/2015,WSN,PHI,FALSE,2,8
 9/ 26, 9/ 26/2015,9/26/2015,WSN,PHI,TRUE,2,1
 9/ 27, 9/ 27/2015,9/27/2015,WSN,PHI,FALSE,5,12
 9/ 28, 9/ 28/2015,9/28/2015,WSN,CIN,TRUE,5,1
 9/ 29, 9/ 29/2015,9/29/2015,WSN,ATL,FALSE,1,2
 9/ 30, 9/ 30/2015,9/30/2015,WSN,ATL,FALSE,0,2
 10/ 1, 10/ 1/2015,10/1/2015,WSN,ATL,TRUE,3,0
 10/ 3 , 10/ 3 /2015,10/3/2015,WSN,NYM,TRUE,3,1
 10/ 3 , 10/ 3 /2016,10/3/2016,WSN,NYM,TRUE,2,0
 10/ 4, 10/ 4/2016,10/4/2016,WSN,NYM,FALSE,0,1
 4/ 4, 4/ 4/2016,4/4/2016,WSN,ATL,TRUE,4,3
 4/ 6, 4/ 6/2016,4/6/2016,WSN,ATL,TRUE,3,1
 4/ 7, 4/ 7/2016,4/7/2016,WSN,MIA,FALSE,4,6
 4/ 10, 4/ 10/2016,4/10/2016,WSN,MIA,TRUE,4,2
 4/ 11, 4/ 11/2016,4/11/2016,WSN,ATL,TRUE,6,4
 4/ 12, 4/ 12/2016,4/12/2016,WSN,ATL,TRUE,2,1
 4/ 13, 4/ 13/2016,4/13/2016,WSN,ATL,TRUE,3,0
 4/ 14, 4/ 14/2016,4/14/2016,WSN,ATL,TRUE,6,2
 4/ 15, 4/ 15/2016,4/15/2016,WSN,PHI,TRUE,9,1
 4/ 16, 4/ 16/2016,4/16/2016,WSN,PHI,TRUE,8,1
 4/ 17, 4/ 17/2016,4/17/2016,WSN,PHI,FALSE,2,3
 4/ 18, 4/ 18/2016,4/18/2016,WSN,MIA,FALSE,1,6
 4/ 19, 4/ 19/2016,4/19/2016,WSN,MIA,TRUE,7,0
 4/ 20, 4/ 20/2016,4/20/2016,WSN,MIA,TRUE,3,1
 4/ 21, 4/ 21/2016,4/21/2016,WSN,MIA,FALSE,1,5
 4/ 22, 4/ 22/2016,4/22/2016,WSN,MIN,TRUE,8,4
 4/ 23, 4/ 23/2016,4/23/2016,WSN,MIN,TRUE,2,0
 4/ 24, 4/ 24/2016,4/24/2016,WSN,MIN,TRUE,6,5
 4/ 26, 4/ 26/2016,4/26/2016,WSN,PHI,FALSE,3,4
 4/ 27, 4/ 27/2016,4/27/2016,WSN,PHI,FALSE,0,3
 4/ 28, 4/ 28/2016,4/28/2016,WSN,PHI,FALSE,0,3
 4/ 29, 4/ 29/2016,4/29/2016,WSN,STL,TRUE,5,4
 4/ 30, 4/ 30/2016,4/30/2016,WSN,STL,TRUE,6,1
 5/ 1, 5/ 1/2016,5/1/2016,WSN,STL,TRUE,6,1
 5/ 2, 5/ 2/2016,5/2/2016,WSN,KCR,TRUE,2,0
 5/ 3, 5/ 3/2016,5/3/2016,WSN,KCR,FALSE,6,7
 5/ 4, 5/ 4/2016,5/4/2016,WSN,KCR,TRUE,13,2
 5/ 5, 5/ 5/2016,5/5/2016,WSN,CHC,FALSE,2,5
 5/ 6, 5/ 6/2016,5/6/2016,WSN,CHC,FALSE,6,8
 5/ 7, 5/ 7/2016,5/7/2016,WSN,CHC,FALSE,5,8
